번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
1,인천광역시 동구청,인천광역시 동구 배송로 2,인천광역시 동구 송림동 209-16,다목적,3,200,360도전방면,30,2014-09,032-770-6300,37.4741323,126.6377472,2020-03-02
2,인천광역시 동구보건소,인천광역시 동구 석수로 90,인천광역시 동구 만석동 18-3,시설물관리,8,200,360도 전방면,30,2016-04,032-770-5705,37.4830,126.6259,2020-06-18
4,인천광역시 동구치매안심센터,"인천광역시 동구 송림로 113, 송영빌딩 2층 (송림동)",인천광역시 동구 송림동 49번지 13호 송영빌딩,생활방범,5,240,90도단방향,30,2018-11,032-760-4929,37.476908,126.647211,2020-06-23
6,인천광역시 동구 송현1·2동 행정복지센터,인천광역시 동구 수문통로 26,인천광역시 동구 송현동 67-84,기타,4,,,15,2020-02,032-770-5820,37.4784942952,126.6333832738,2020-06-23
9,인천광역시 동구청,인천광역시 동구 화수로7,인천광역시 동구 송현동 60,어린이보호,1,200,360도전방면,30,2015-01,032-770-6300,37.4802994,126.635997,2020-03-02
10,인천광역시 동구청,인천광역시 동구 송현로 59-2,인천광역시 동구 송현동 56-95,다목적,1,200,360도전방면,30,2017-11,032-770-6300,37.4805765,126.6379095,2020-03-02
11,인천광역시 동구청,인천광역시 동구 솔빛로 51,인천광역시 동구 송현동 338,어린이보호,1,200,360도전방면,30,2017-11,032-770-6300,37.4771943,126.6391014,2020-03-02
12,인천광역시 동구청,인천광역시 동구 솔빛로 51,인천광역시 동구 송현동 338,어린이보호,1,200,360도전방면,30,2017-11,032-770-6300,37.4771943,126.6391014,2020-03-02
13,인천광역시 동구청,인천광역시 동구 인중로 614,인천광역시 동구 송현동 25-83,다목적,1,130,360도전방면,30,2016-06,032-770-6300,37.480772,126.6400202,2020-03-02
14,인천광역시 동구청,인천광역시 동구 송현공원로 75-21,인천광역시 동구 송현동 23-62,다목적,1,41,360도전방면,30,2017-06,032-770-6300,37.47899962,126.6394859,2020-03-02
