수요지 id,X,Y,초등학령인구
C1,126.3715048,37.4637824,1
C2,126.4795048,37.4957824,46
C3,126.4815048,37.4997824,36
C4,126.4825048,37.4957824,81
C5,126.4835048,37.4977824,25
C6,126.4835048,37.4997824,14
C7,126.4835048,37.5007824,14
C8,126.4845048,37.4987824,28
C9,126.4845048,37.4997824,21
C10,126.4855048,37.4957824,37
C11,126.4855048,37.5007824,28
C12,126.4855048,37.5017824,36
C13,126.4865048,37.4887824,29
C14,126.4865048,37.49078239999999,56
C15,126.4865048,37.4927824,30
C16,126.4865048,37.49378239999999,45
C17,126.4865048,37.4997824,30
C18,126.4865048,37.5017824,14
C19,126.4875048,37.4997824,37
C20,126.4875048,37.5007824,14
C21,126.4875048,37.5017824,14
C22,126.4875048,37.5027824,14
C23,126.4885048,37.4887824,40
C24,126.4885048,37.49078239999999,92
C25,126.4985048,37.4887824,112
C26,126.4995048,37.48478239999999,96
C27,126.4995048,37.48778239999999,104
C28,126.5015048,37.4827824,288
C29,126.5025048,37.4887824,248
C30,126.5035048,37.4807824,228
C31,126.5055048,37.5137824,4
C32,126.5065048,37.5127824,2
C33,126.5075048,37.47878239999999,362
C34,126.5075048,37.5137824,2
C35,126.5085048,37.48178239999999,41
C36,126.5085048,37.4827824,20
C37,126.5105048,37.5087824,1
C38,126.5125048,37.5097824,4
C39,126.5135048,37.4777824,334
C40,126.5145048,37.5107824,2
C41,126.5145048,37.5127824,2
C42,126.5145048,37.5137824,9
C43,126.5145048,37.5147824,2
C44,126.5165048,37.5107824,8
C45,126.5215048,37.5087824,6
C46,126.5255048,37.5097824,3
C47,126.5295048,37.5077824,5
C48,126.5315048,37.4887824,128
C49,126.5325048,37.5067824,2
C50,126.5325048,37.5087824,2
C51,126.5335048,37.5047824,2
C52,126.5335048,37.5057824,2
C53,126.5345048,37.5047824,2
C54,126.5355048,37.48778239999999,1
C55,126.5365048,37.4957824,7
C56,126.5375048,37.49078239999999,1
C57,126.5375048,37.4957824,5
C58,126.5385048,37.4957824,2
C59,126.5395048,37.49378239999999,3
C60,126.5395048,37.4957824,8
C61,126.5395048,37.5147824,2
C62,126.5415048,37.5097824,2
C63,126.5435048,37.4947824,3
C64,126.5445048,37.4927824,3
C65,126.5445048,37.49378239999999,2
C66,126.5465048,37.4957824,2
C67,126.5475048,37.4977824,2
C68,126.5485048,37.4867824,124
C69,126.5485048,37.49078239999999,400
C70,126.5485048,37.4947824,2
C71,126.5485048,37.4987824,2
C72,126.5495048,37.4957824,2
C73,126.5495048,37.4967824,4
C74,126.5505048,37.4967824,2
C75,126.5515048,37.48478239999999,98
C76,126.5515048,37.4927824,188
C77,126.5535048,37.48478239999999,52
C78,126.5545048,37.4867824,161
C79,126.5545048,37.49078239999999,163
C80,126.5555048,37.5007824,2
C81,126.5555048,37.5037824,2
C82,126.5565048,37.4857824,125
C83,126.5565048,37.4927824,210
C84,126.5585048,37.49078239999999,258
C85,126.5595048,37.48478239999999,73
C86,126.5605048,37.4927824,164
C87,126.5635048,37.4917824,171
C88,126.5635048,37.5007824,140
C89,126.5655048,37.4897824,204
C90,126.5675048,37.4927824,190
C91,126.5675048,37.4947824,134
C92,126.5685048,37.5017824,114
C93,126.5705048,37.4947824,112
C94,126.5975048,37.4727824,1
C95,126.5985048,37.4737824,1
C96,126.5985048,37.4757824,2
C97,126.5995048,37.4737824,3
C98,126.5995048,37.4767824,1
C99,126.6015048,37.4767824,2
C100,126.6025048,37.4517824,6
C101,126.6035048,37.4517824,6
C102,126.6065048,37.4517824,251
C103,126.6155048,37.4767824,18
C104,126.6175048,37.4767824,5
C105,126.6175048,37.4777824,13
C106,126.6175048,37.4827824,9
C107,126.6185048,37.4757824,3
C108,126.6185048,37.4767824,9
C109,126.6185048,37.4777824,10
C110,126.6195048,37.4757824,4
C111,126.6195048,37.4767824,4
C112,126.6195048,37.4777824,1
C113,126.6195048,37.47878239999999,3
C114,126.6195048,37.4797824,18
