연번,지방청,경찰서,관서명,급지,구분,경찰_전화번호,경찰_주소,Latitude,Longitude
400,인천청,인천중부,신흥,1,지구대,032-760-8303,인천광역시 중구  서해대로 399,37.4623941,126.6319467
401,인천청,인천중부,송림,1,지구대,032-760-8302,인천광역시 동구  송림로 46-1,37.4738076,126.6403363
402,인천청,인천중부,하인천,1,지구대,032-760-8301,인천광역시 중구  제물량로 266,37.4754698,126.6176157
403,인천청,인천중부,공항,1,지구대,032-760-8304,인천광역시 중구  흰바위로27번길 12,37.49351,126.4884347
404,인천청,인천중부,연안,1,파출소,032-760-8308,인천광역시 중구  연안부두로 22 ,37.4561542,126.6029156
411,인천청,인천중부,용유,1,파출소,032-760-8309,인천광역시 중구 마시란로 314-20 ,37.4446247,126.4013034
412,인천청,인천중부,송현,1,파출소,032-760-8305,인천광역시 동구  수문통로 77,37.4821695,126.6369959
413,인천청,인천중부,동인천,1,파출소,032-760-8306,인천광역시 중구  참외전로 131,37.4748473,126.6320526
414,인천청,인천중부,서흥,1,파출소,032-760-8307,인천광역시 동구  샛골로 195 ,37.4798921,126.6452086
415,인천청,인천중부,영종,1,지구대,032-760-8319,인천광역시 중구 하늘달빛로 118,37.488725,126.5550729
