순번,단지명,회사명,시군구,공장대표주소(도로명),Latitude,Longitude,전화번호,종업원수,대표업종번호,업종번호,업종명,생산품
272,,(주)대서양푸드,중구,"인천광역시 중구 연안부두로75번길 4, 2층1호 (항동7가)",37.4526628,126.5986921,,0,10219,10219,기타 수산동물 가공 및 저장 처리업,수산물
273,,(주)에스와이컴퍼니,중구,"인천광역시 중구 연안부두로75번길 4, 2층2호 (항동7가)",37.4526628,126.5986921,,1,10219,10219,기타 수산동물 가공 및 저장 처리업,"냉동삼치, 냉동임연수"
274,,(주)에스지개발,중구,인천광역시 중구 축항대로290번길 41 (신흥동3가),37.4444292,126.6256633,,5,17902,17902,위생용 종이제품 제조업,N커버(일회용좌변기시트커버)
275,,동아테크솔루션,중구,인천광역시 중구 제물량로 37 (신흥동3가),37.463681,126.636134,,4,26529,"26421, 26529",기타 음향기기 제조업 외 1 종,"스피커, 돔카메라"
276,,선두수산,중구,인천광역시 중구 서해대로180번길 49 (신흥동3가),37.4426285,126.627006,,13,10213,10213,수산동물 냉동품 제조업,냉동수산물
277,,하늘금속,중구,인천광역시 중구 서해대로210번길 36 (신흥동3가),37.4448583,126.6266375,,8,33910,33910,간판 및 광고물 제조업,간판 및 광고물
278,,게이트고메코리아 유한회사,중구,인천광역시 중구 공항동로465번길 96 (운서동),37.4829936,126.4498123,,992,10798,10798,도시락 및 식사용 조리식품 제조업,기내식 도시락
279,,농업회사법인주식회사 웰빙라이스,중구,인천광역시 중구 중산동 1097-318번지,37.5030028,126.5642647,,5,10619,10619,기타 곡물 가공품 제조업,쌀과자
280,,샤다이바이오,중구,인천광역시 중구 늘목로39번길 1(을왕동),37.4536041,126.39521,,1,10802,10802,단미 사료 및 기타 사료 제조업,"단미사료(양축용 : 슈퍼비, 그린비)"
281,,공항시설관리(주),중구,인천광역시 중구 용유서로2번길 50 (남북동),37.4459516,126.4068815,02-3665-1383,3,29172,"29150, 29171, 29172",공기 조화장치 제조업 외 2 종,"히트펌프, 공조기"
282,,윈윈수산식품 주식회사,중구,인천광역시 중구 항동7가 65-103번지,37.4503334,126.599163,02-476-8801,5,10219,10219,기타 수산동물 가공 및 저장 처리업,노르웨이산 생연어 필렛가공품 및 소분팩
283,,주식회사 경화기업,중구,인천광역시 중구 서해대로210번길 34 (신흥동3가),37.4449541,126.6263942,02-716-2779,10,10619,10619,기타 곡물 가공품 제조업,볶음참깨
284,,대한항공씨앤디서비스 주식회사,중구,인천광역시 중구 운서동 2840-13번지 (대한항공 기내식시설A),37.4695092,126.4507804,032-202-9881,1293,10751,"10751, 10759",도시락류 제조업 외 1 종,기내식
285,,아이에이티(주),중구,인천광역시 중구 영종순환로900번길 15 (운북동),37.5085136,126.4965543,032-206-1132,20,31321,"31321, 31322",항공기용 엔진 제조업 외 1 종,"항공기 엔진 MRO, 항공기용 엔진 및 부품"
