name,lat,long
학교1,37.4907864,126.5503497
학교2,37.4791913,126.6245869
학교3,37.4980468,126.5576849
학교4,37.4514001,126.6275037
학교5,37.4947537,126.5655259
학교6,37.4983352,126.4861247
학교7,37.4705455,126.6290139
학교8,37.4903601,126.530187
학교9,37.4839557,126.5121301
학교10,37.4643024,126.6350024
학교11,37.4737879,126.6244174
학교12,37.4887706,126.553245
학교13,37.4839557,126.5121301
학교14,37.4903601,126.530187
학교15,37.4476777,126.411738
학교16,37.4643024,126.6350024
학교17,37.4744868,126.6421946
학교18,37.4844524,126.6285907
학교19,37.4793661,126.6444314
학교20,37.4816853,126.6338873
학교21,37.4718218,126.6394228
학교22,37.4757167,126.6464063
학교23,37.4711789,126.6406282
학교24,37.4744803,126.6335099
