연번,지방청,경찰서,관서명,경찰_주소,Latitude,Longitude,경찰_전화번호
400,인천청,인천중부,신흥,인천광역시 중구  서해대로 399,37.4623941,126.6319467,032-760-8303
401,인천청,인천중부,송림,인천광역시 동구  송림로 46-1,37.4738076,126.6403363,032-760-8302
402,인천청,인천중부,하인천,인천광역시 중구  제물량로 266,37.4754698,126.6176157,032-760-8301
403,인천청,인천중부,공항,인천광역시 중구  흰바위로27번길 12,37.49351,126.4884347,032-760-8304
404,인천청,인천중부,연안,인천광역시 중구  연안부두로 22 ,37.4561542,126.6029156,032-760-8308
411,인천청,인천중부,용유,인천광역시 중구 마시란로 314-20 ,37.4446247,126.4013034,032-760-8309
412,인천청,인천중부,송현,인천광역시 동구  수문통로 77,37.4821695,126.6369959,032-760-8305
413,인천청,인천중부,동인천,인천광역시 중구  참외전로 131,37.4748473,126.6320526,032-760-8306
414,인천청,인천중부,서흥,인천광역시 동구  샛골로 195 ,37.4798921,126.6452086,032-760-8307
415,인천청,인천중부,영종,인천광역시 중구 하늘달빛로 118,37.488725,126.5550729,032-760-8319
9,인천청,"인천중부경찰서	","인천중부경찰서	","인천 중구 제물량로 237	",37.4728192,126.6180311,.
12,인천청,"인천국제공항경찰단	","인천국제공항경찰단	","인천 중구 공항로 272	",37.4794888,126.4409139,.
228,인천,중부,중앙119안전센터,인천광역시 중구 인중로 204,37.4702255,126.6224268,032-870-5180
229,인천,중부,송현119안전센터,인천광역시 동구 방축로 39,37.4863194,126.6509785,032-576-0119
230,인천,중부,송림119안전센터,인천광역시 동구 샛골로 133,37.474318,126.6440707,032-764-7119
231,인천,중부,만석119안전센터,인천광역시 동구 제물량로 396,37.4833831,126.6258222,032-766-0119
232,인천,중부,연안119안전센터,인천광역시 중구 축항대로 118,37.4545497,126.6130861,032-887-4689
275,인천,영종,공항119안전센터,인천광역시 중구 제2터미널대로 268 ,37.4888058,126.4122275,032-727-6180
276,인천,영종,운서119안전센터,인천광역시 중구 흰바위로27번길 16,37.4937224,126.4884432,032-727-6182
277,인천,영종,운남119안전센터,인천광역시 중구 운남로 116,37.4880364,126.5332886,032-727-6181
278,인천,영종,용유119안전센터,인천광역시 중구 용유서로128번길 1,37.4484778,126.3938962,032-727-6183
1,중구,종합병원,인하대학교의과대학부속병원,인천광역시 중구 인항로 27 (신흥동3가),37.4586179,126.6339279,
2,중구,종합병원,인천기독병원,인천광역시 중구 답동로30번길 10 (율목동),37.4711982,126.6319369,
3,중구,병원,(의)성세의료재단 영종국제병원,"인천광역시 중구 하늘별빛로65번길 7-9, 3,4층 (중산동)",37.4884886,126.5646288,
4,중구,병원,가천대부속 동인천길병원,"인천광역시 중구 큰우물로 21 (용동, 지하1층, 1층, 3~5층, 8층)",37.4737251,126.6313695,
5,중구,요양병원,고은요양병원,인천광역시 중구 연안부두로21번길 11-12 (항동7가),37.4557307,126.6050111,
6,중구,요양병원,인천삼성요양병원,"인천광역시 중구 우현로62번길 30 (경동, 지하1층, 1층, 2층, 3층)",37.4722009,126.630835,
7,중구,요양병원,힐락암요양병원,"인천광역시 중구 영종대로 106, 지하1층(일부), 5~6층, 8~10층 (운서동)",37.4948625,126.4908947,
8,중구,요양병원,예지요양병원,인천광역시 중구 개항로 82 (경동),37.4728941,126.6349047,
9,중구,한방병원,스카이한방병원,"인천광역시 중구 자연대로 47-0, 4층 (중산동)",37.4887139,126.5589479,
