1번째 칼럼,2번째 칼럼,3번째 칼럼,4번째 칼럼,5번째 칼럼,6번째 칼럼,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
2441,동구,만석초등학교,인천광역시 동구 제물량로 413 버스정류장,사물주소 확정,2021-11-25,인천광역시 동구 제물량로 413 버스정류장,126.6270785,37.4844369,인근좌표,28140,새주소,인천광역시 동구 제물량로  413,인천광역시 동구,NULL,,,,
2442,동구,창영어린이공원,인천광역시 동구 우각로 30 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 우각로 30 버스정류장,126.6394353,37.4708033,인근좌표,28140,새주소,인천광역시 동구 우각로  30,인천광역시 동구,NULL,,,,
2443,동구,참좋은집,인천광역시 동구 방축로62번길 37 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 방축로62번길 37 버스정류장,126.6521679,37.4831941,정좌표,2.81401E+18,새주소,인천광역시 동구 방축로62번길 37,인천광역시 동구 송림동 8-26,22529,2814063000,송림6동,2814010700,송림동
2444,동구,참좋은집,인천광역시 동구 방축로62번길 38 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 방축로62번길 38 버스정류장,126.6513868,37.483879,정좌표,2.81401E+18,새주소,인천광역시 동구 방축로62번길 38,인천광역시 동구 송림동 8-810,22529,2814063000,송림6동,2814010700,송림동
2445,동구,인천재능대후문,인천광역시 동구 재능로 167 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 재능로 167 버스정류장,126.6496466,37.4762815,인근좌표,28140,새주소,인천광역시 동구 재능로  167,인천광역시 동구,NULL,,,,
2446,동구,인천재능대후문,인천광역시 동구 재능로 176 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 재능로 176 버스정류장,126.6496466,37.4762815,인근좌표,28140,새주소,인천광역시 동구 재능로  176,인천광역시 동구,NULL,,,,
2447,동구,인천재능대정문,인천광역시 동구 재능로 133 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 재능로 133 버스정류장,126.6503425,37.4740459,도로중심좌표,28140,새주소,인천광역시 동구 재능로  133,인천광역시 동구,NULL,,,,
2448,동구,인천재능대정문,인천광역시 동구 재능로 140 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 재능로 140 버스정류장,126.6503425,37.4740459,도로중심좌표,28140,새주소,인천광역시 동구 재능로  140,인천광역시 동구,NULL,,,,
2449,동구,인천세무서후문,인천광역시 동구 샛골로 89 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 샛골로 89 버스정류장,126.6424435,37.4707388,정좌표,2.81401E+18,새주소,인천광역시 동구 샛골로 89,인천광역시 동구 금곡동 60-13,22562,2814064000,금창동,2814010600,금곡동
2450,동구,인천세무서,인천광역시 동구 우각로 78 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 우각로 78 버스정류장,126.6418187,37.4702811,정좌표,2.81401E+18,새주소,인천광역시 동구 우각로 78,인천광역시 동구 창영동 132,22565,2814064000,금창동,2814010500,창영동
2451,동구,송현주공아파트후문,인천광역시 동구 샛골로 233 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 샛골로 233 버스정류장,126.644083,37.482606,인근좌표,28140,새주소,인천광역시 동구 샛골로  233,인천광역시 동구,NULL,,,,
2452,동구,송림휴먼시아정문,인천광역시 동구 송향로35번길 3 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 송향로35번길 3 버스정류장,126.6518458,37.4822444,도로중심좌표,28140,새주소,인천광역시 동구 송향로35번길  3,인천광역시 동구,NULL,,,,
2453,동구,송림휴먼시아정문,인천광역시 동구 송향로35번길 4 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 송향로35번길 4 버스정류장,126.6518458,37.4822444,도로중심좌표,28140,새주소,인천광역시 동구 송향로35번길  4,인천광역시 동구,NULL,,,,
2454,동구,송림주공아파트,인천광역시 동구 재능로 77 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 재능로 77 버스정류장,126.6503425,37.4740459,도로중심좌표,28140,새주소,인천광역시 동구 재능로  77,인천광역시 동구,NULL,,,,
2455,동구,송림주공아파트,인천광역시 동구 재능로 78 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 재능로 78 버스정류장,126.6503425,37.4740459,도로중심좌표,28140,새주소,인천광역시 동구 재능로  78,인천광역시 동구,NULL,,,,
2456,동구,송림119안전센터,인천광역시 동구 샛골로 131 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 샛골로 131 버스정류장,126.6441222,37.4741819,정좌표,2.81401E+18,새주소,인천광역시 동구 샛골로 131,인천광역시 동구 송림동 58-58,22556,2814059000,송림2동,2814010700,송림동
2457,동구,배다리헌책방거리,인천광역시 동구 금곡로 14 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 금곡로 14 버스정류장,126.6372333,37.4725349,정좌표,2.81401E+18,새주소,인천광역시 동구 금곡로 14,인천광역시 동구 금곡동 20-7,22554,2814064000,금창동,2814010600,금곡동
2458,동구,배다리성냥마을박물관,인천광역시 동구 금곡로 19 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 금곡로 19 버스정류장,126.6377354,37.4729011,정좌표,2.81401E+18,새주소,인천광역시 동구 금곡로 19,인천광역시 동구 금곡동 33-3,22554,2814064000,금창동,2814010600,금곡동
2459,동구,만석어린이공원,인천광역시 동구 인중로 391 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 인중로 391 버스정류장,126.6177301,37.4830845,인근좌표,28140,새주소,인천광역시 동구 인중로  391,인천광역시 동구,NULL,,,,
2460,동구,동산휴먼시아2단지정문,인천광역시 동구 새천년로38번길 7 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 새천년로38번길 7 버스정류장,126.6505892,37.471643,인근좌표,28140,새주소,인천광역시 동구 새천년로38번길  7,인천광역시 동구,NULL,,,,
2461,동구,동구환경,인천광역시 동구 염전로 41 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 염전로 41 버스정류장,126.6492612,37.4838727,인근좌표,28140,새주소,인천광역시 동구 염전로  41,인천광역시 동구,NULL,,,,
2462,동구,동구노인인력개발센터,인천광역시 동구 금곡로 79 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 금곡로 79 버스정류장,126.6443652,37.4732477,정좌표,2.81401E+18,새주소,인천광역시 동구 금곡로 79,인천광역시 동구 송림동 67-32,22557,2814060500,송림3.5동,2814010700,송림동
2463,동구,도원고개(동구청방향),인천광역시 동구 샛골로 100 버스정류장,사물주소 확정,2021-09-17,인천광역시 동구 샛골로 100 버스정류장,126.6432686,37.47137,정좌표,2.81401E+18,새주소,인천광역시 동구 샛골로 100,인천광역시 동구 금곡동 67-31,22567,2814064000,금창동,2814010600,금곡동
2464,동구,만석삼거리,인천광역시 동구 화도진로 175-1 버스정류장,사물주소 확정,2021-08-31,인천광역시 동구 화도진로 175-1 버스정류장,126.6236316,37.4849645,인근좌표,28140,새주소,인천광역시 동구 화도진로  175-1,인천광역시 동구,NULL,,,,
2465,동구,만석삼거리,인천광역시 동구 제물량로385번길 43 버스정류장,사물주소 확정,2021-08-31,인천광역시 동구 제물량로385번길 43 버스정류장,126.6234843,37.4849808,인근좌표,28140,새주소,인천광역시 동구 제물량로385번길  43,인천광역시 동구,NULL,,,,
2466,동구,방축삼거리,인천광역시 동구 중봉대로 107 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 중봉대로 107 버스정류장,126.6472998,37.4879319,인근좌표,28140,새주소,인천광역시 동구 중봉대로  107,인천광역시 동구,NULL,,,,
2467,동구,산업용품유통센터39동,인천광역시 동구 방축로 48 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 방축로 48 버스정류장,126.6505844,37.4857439,인근좌표,28140,새주소,인천광역시 동구 방축로  48,인천광역시 동구,NULL,,,,
2468,동구,산업용품유통센터,인천광역시 동구 방축로37번길 53 버스정류장,사물주소 확정,2022-06-23,인천광역시 동구 방축로37번길 53 버스정류장,126.6522527,37.4885471,인근좌표,28140,새주소,인천광역시 동구 방축로37번길  53,인천광역시 동구,NULL,,,,
2469,동구,송림동진로아파트,인천광역시 동구 새천년로 11-2 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 새천년로 11-2 버스정류장,126.6483947,37.4698339,인근좌표,28140,새주소,인천광역시 동구 새천년로  11-2,인천광역시 동구,NULL,,,,
2470,동구,송림동진로아파트,인천광역시 동구 새천년로 14 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 새천년로 14 버스정류장,126.6484272,37.4699154,인근좌표,28140,새주소,인천광역시 동구 새천년로  14,인천광역시 동구,NULL,,,,
2471,동구,쉐보레동인천서비스,인천광역시 동구 염전로40번길 30 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 염전로40번길 30 버스정류장,126.6483682,37.4832318,인근좌표,28140,새주소,인천광역시 동구 염전로40번길  30,인천광역시 동구,NULL,,,,
2472,동구,쉐보레동인천서비스,인천광역시 동구 염전로40번길 29-1 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 염전로40번길 29-1 버스정류장,126.6483682,37.4832318,인근좌표,28140,새주소,인천광역시 동구 염전로40번길  29-1,인천광역시 동구,NULL,,,,
2473,동구,백병원(송림패션몰),인천광역시 동구 염전로40번길 78 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 염전로40번길 78 버스정류장,126.6469674,37.4812876,인근좌표,28140,새주소,인천광역시 동구 염전로40번길  78,인천광역시 동구,NULL,,,,
2474,동구,기계철제단지,인천광역시 동구 염전로 8-1 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 염전로 8-1 버스정류장,126.6460111,37.486034,인근좌표,28140,새주소,인천광역시 동구 염전로  8-1,인천광역시 동구,NULL,,,,
2475,동구,송림체육관,인천광역시 동구 염전로 33-1 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 염전로 33-1 버스정류장,126.6476017,37.4843583,인근좌표,28140,새주소,인천광역시 동구 염전로  33-1,인천광역시 동구,NULL,,,,
2476,동구,화수부두,인천광역시 동구 제물량로 462 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 제물량로 462 버스정류장,126.6312534,37.4873867,정좌표,2.81401E+18,새주소,인천광역시 동구 제물량로 462,인천광역시 동구 화수동 311,22514,2814053000,화수2동,2814010200,화수동
2477,동구,510번차고지,인천광역시 동구 백범로 979 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 백범로 979 버스정류장,126.6432807,37.4738299,(도로명 없음)시구군 좌표,28140,구주소,,인천광역시 동구 979,NULL,,,,
2478,동구,쌍용자동차인천정비사업소,인천광역시 동구 방축로 19 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 방축로 19 버스정류장,126.6483127,37.4869434,인근좌표,28140,새주소,인천광역시 동구 방축로  19,인천광역시 동구,NULL,,,,
2479,동구,GS25편의점,인천광역시 동구 화수로 8-1 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 화수로 8-1 버스정류장,126.6361261,37.4805863,인근좌표,28140,새주소,인천광역시 동구 화수로  8-1,인천광역시 동구,NULL,,,,
2480,동구,미림극장입구,인천광역시 동구 화도진로 13-2 버스정류장,사물주소 확정,2020-05-19,인천광역시 동구 화도진로 13-2 버스정류장,126.6355836,37.4743539,인근좌표,28140,새주소,인천광역시 동구 화도진로  13-2,인천광역시 동구,NULL,,,,
2481,동구,미륭아파트,인천광역시 동구 화수로 48 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 화수로 48 버스정류장,126.632929,37.482928,인근좌표,28140,새주소,인천광역시 동구 화수로  48,인천광역시 동구,NULL,,,,
2482,동구,미륭아파트,인천광역시 동구 화수로 43-1 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 화수로 43-1 버스정류장,126.6331138,37.4827139,인근좌표,28140,새주소,인천광역시 동구 화수로  43-1,인천광역시 동구,NULL,,,,
2483,동구,동인천역북광장,인천광역시 동구 화도진로 51 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 화도진로 51 버스정류장,126.6331847,37.4769572,인근좌표,28140,새주소,인천광역시 동구 화도진로  51,인천광역시 동구,NULL,,,,
2484,동구,동인천역북광장,인천광역시 동구 화도진로 45 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 화도진로 45 버스정류장,126.6336452,37.476503,인근좌표,28140,새주소,인천광역시 동구 화도진로  45,인천광역시 동구,NULL,,,,
2485,동구,현대제철정문,인천광역시 동구 중봉대로 60 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 중봉대로 60 버스정류장,126.6387496,37.4892843,정좌표,28140,새주소,인천광역시 동구 중봉대로  60,인천광역시 동구,NULL,,,,
2486,동구,송림오거리,인천광역시 동구 동산로 86-3 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 동산로 86-3 버스정류장,126.6455761,37.4750546,인근좌표,28140,새주소,인천광역시 동구 동산로  86-3,인천광역시 동구,NULL,,,,
2487,동구,송림오거리,인천광역시 동구 동산로 85-2 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 동산로 85-2 버스정류장,126.6452409,37.4748345,인근좌표,28140,새주소,인천광역시 동구 동산로  85-2,인천광역시 동구,NULL,,,,
2488,동구,송림체육관,인천광역시 동구 염전로 32 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 염전로 32 버스정류장,126.6476017,37.4843583,인근좌표,28140,새주소,인천광역시 동구 염전로  32,인천광역시 동구,NULL,,,,
2489,동구,기계철제단지,인천광역시 동구 염전로 7-1 버스정류장,사물주소 확정,2020-05-07,인천광역시 동구 염전로 7-1 버스정류장,126.6469815,37.4867749,인근좌표,28140,새주소,인천광역시 동구 염전로  7-1,인천광역시 동구,NULL,,,,
