"행정구역(자치구)별(1)",2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2026,2026,2026,2026,2026,2027,2027,2027,2027,2027,2028,2028,2028,2028,2028,2029,2029,2029,2029,2029,2030,2030,2030,2030,2030,2031,2031,2031,2031,2031,2032,2032,2032,2032,2032,2033,2033,2033,2033,2033,2034,2034,2034,2034,2034,2035,2035,2035,2035,2035
"행정구역(자치구)별(1)",전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세),전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세),전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세),전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세),전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세),전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세),전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세),전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세),전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세),전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세),전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세),전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세),전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세),전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세),전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세),전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세),전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세),전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세),전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세),전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세),전체,초등학교(6-11세),중학교(12-14세),고등학교(15-17세),대학교(18-21세)
"합계",506182,158380,89377,105659,152766,494525,157444,83299,102707,151075,483892,160133,79139,97313,147307,474220,162712,77147,89592,144769,464577,163222,76374,83439,141542,453350,160325,79509,79353,134163,445259,160079,80936,77419,126825,435453,158928,80584,76669,119272,426303,155013,80514,79839,110937,421611,151695,81893,81213,106810,418966,149080,83020,80827,106039,416136,147977,80476,80740,106943,415382,146362,78755,82095,108170,414680,146164,76419,83205,108892,412852,146726,75016,80641,110469,409359,147151,73386,78898,109924,407782,147749,73049,76547,110437,406867,148514,73286,75139,109928,403929,149320,73262,73517,107830,401318,150020,73363,73174,104761,399333,150485,73636,73396,101816
"중구",18560,6731,3389,4229,4211,18586,6694,3323,3940,4629,18621,6692,3256,3501,5172,19063,7104,3325,3264,5370,18789,7143,3293,3189,5164,18731,7214,3555,3170,4792,18758,7436,3672,3220,4430,18873,7572,3714,3228,4359,18922,7557,3724,3459,4182,19056,7429,3971,3539,4117,19304,7454,4072,3573,4205,19433,7484,4048,3588,4313,19649,7484,3940,3819,4406,19811,7521,3923,3885,4482,19918,7606,3875,3844,4593,20237,7809,3892,3781,4755,20644,8014,3945,3805,4880,20998,8215,4028,3788,4967,21244,8409,4086,3784,4965,21416,8590,4150,3817,4859,21298,8564,4156,3836,4742
"동구",10692,3591,1826,2202,3073,10182,3424,1746,2051,2961,9702,3374,1594,1919,2815,9258,3295,1477,1711,2775,8787,3146,1423,1610,2608,8350,2950,1475,1486,2439,7997,2861,1453,1399,2284,7628,2768,1384,1362,2114,7332,2606,1356,1418,1952,7109,2502,1359,1405,1843,6952,2426,1345,1355,1826,6799,2386,1258,1339,1816,6731,2340,1224,1351,1816,6665,2318,1183,1348,1816,6568,2323,1153,1274,1818,6479,2330,1122,1247,1780,6455,2346,1106,1211,1792,6426,2363,1112,1184,1767,6361,2381,1114,1151,1715,6330,2398,1116,1140,1676,6376,2446,1136,1158,1636
"남구",63899,18441,10499,12877,22082,61387,18086,9666,12407,21228,59978,18560,9239,11716,20463,58957,19296,8961,11026,19674,56123,18958,8678,10049,18438,54580,18634,8968,9554,17424,53495,18610,9235,9157,16493,52166,18454,9201,9044,15467,50868,17961,9163,9349,14395,50105,17469,9298,9609,13729,49351,17040,9343,9529,13439,48718,16729,9050,9455,13484,48304,16369,8822,9558,13555,48069,16189,8563,9629,13688,47634,16129,8328,9351,13826,46833,16037,8022,9093,13681,46283,15959,7896,8808,13620,45876,15917,7857,8553,13549,45252,15890,7822,8271,13269,44648,15865,7777,8161,12845,44565,15996,7824,8189,12556
"연수구",65775,19643,11616,13039,21477,66610,20599,11207,13111,21693,67623,22326,11163,13113,21021,65794,23446,11249,12350,18749,68520,25521,11902,12171,18926,67655,25379,12541,11773,17962,67856,25738,13059,11794,17265,67709,25956,13264,11955,16534,67460,25584,13484,12679,15713,67647,25088,13973,13161,15425,68261,24672,14521,13346,15722,68627,24472,14384,13565,16206,69130,24228,14164,14055,16683,69530,24152,13790,14540,17048,69635,24244,13514,14335,17542,69642,24431,13263,14119,17829,69844,24634,13191,13771,18248,70080,24862,13272,13531,18415,69931,25106,13313,13278,18234,69734,25330,13365,13204,17835,69009,25229,13350,13203,17227
"남동구",90231,29740,16357,18791,25343,89282,30111,15267,18580,25324,89146,31189,14611,17912,25434,89196,31850,14532,16640,26174,86727,31623,14213,15308,25583,84136,30792,14771,14400,24173,82423,30490,14974,14161,22798,80735,30083,15123,14001,21528,79028,29231,15177,14649,19971,78161,28628,15283,14891,19359,77065,27744,15335,14928,19058,75962,27311,14653,14879,19119,75314,26687,14325,14912,19390,74544,26359,13729,14994,19462,73733,26202,13433,14349,19749,72885,26138,13051,14096,19600,72314,26144,12908,13564,19698,71853,26198,12898,13332,19425,71128,26282,12817,12961,19068,70536,26373,12799,12831,18533,70333,26631,12862,12874,17966
"부평구",92409,27469,16176,19833,28931,88230,26595,14727,18800,28108,83399,25945,13459,17400,26595,79889,25665,12616,15579,26029,76043,24718,12275,14100,24950,72131,23701,12289,13016,23125,69195,23073,12342,12253,21527,65853,22482,11745,11986,19640,63034,21533,11467,12062,17972,61019,20733,11309,12156,16821,59657,20239,11267,11647,16504,58461,19850,10817,11453,16341,57595,19440,10494,11349,16312,56949,19365,10110,11352,16122,56074,19374,9774,10925,16001,55354,19442,9471,10635,15806,54820,19557,9444,10277,15542,54654,19698,9456,9974,15526,54125,19847,9444,9683,15151,53680,19987,9456,9651,14586,53768,20236,9550,9710,14272
"계양구",60672,17213,10319,13034,20106,57320,16545,9242,12386,19147,53792,16233,8444,11264,17851,50981,15918,7874,9957,17232,48024,15250,7496,8894,16384,45285,14247,7719,8159,15160,42931,13774,7588,7642,13927,40497,13160,7326,7339,12672,38448,12451,7046,7582,11369,37120,12013,6978,7471,10658,35919,11607,6795,7226,10291,34828,11403,6292,6961,10172,34119,11173,6032,6910,10004,33496,11124,5697,6765,9910,32778,11065,5571,6304,9838,32118,11084,5448,6102,9484,31853,11143,5457,5811,9442,31569,11211,5448,5720,9190,31159,11286,5427,5594,8852,30905,11353,5437,5601,8514,30891,11491,5489,5613,8298
