,경도,위도,도로명주소
0,37.4711986,126.6234774,인천광역시 중구 개항로 5 씨멘스클럽
1,37.4758403,126.6307059,인천광역시 중구 홍예문로98번길 9
2,37.4672158,126.6357266,인천광역시 중구 서해대로 462-3
3,37.4723240,126.6236957,인천광역시 중구 신포로27번길 32
4,37.4719692,126.6234183,인천광역시 중구 신포로23번길 32 수노래타운
5,37.4671166,126.6356518,인천광역시 중구 서해대로 462-2
6,37.4731712,126.6315175,인천광역시 중구 큰우물로 13
7,37.4712088,126.6243192,인천광역시 중구 신포로23번길 9
8,37.4720020,126.6236376,인천광역시 중구 홍예문로 13-2
9,37.4669255,126.6337626,인천광역시 중구 제물량로 81
10,37.4708681,126.6239576,인천광역시 중구 신포로15번길 8
11,37.4715910,126.6235652,인천광역시 중구 신포로23번길 23
12,37.4705181,126.6247135,인천광역시 중구 신포로 18
13,37.4705605,126.6247377,인천광역시 중구 제물량로166번길 1-21
14,37.4720020,126.6236376,인천광역시 중구 홍예문로 13-2
15,37.4710489,126.6237687,인천광역시 중구 개항로 6 신포설렁탕
16,37.4716700,126.6255408,"인천광역시 중구 신포로 32-1 게스,미스타조,프린스당구장"
17,37.4655236,126.6363670,인천광역시 중구 서해대로454번길 18
18,37.4674112,126.6358500,인천광역시 중구 서해대로464번길 1-2
19,37.4721933,126.6230663,인천광역시 중구 신포로23번길 40
20,37.4719607,126.6235762,인천광역시 중구 홍예문로 13-1
21,37.4654317,126.6359457,인천광역시 중구 도원로7번길 7
22,37.4734510,126.6310703,인천광역시 중구 우현로90번길 27
23,37.4549665,126.6023404,인천광역시 중구 연안부두로 35
24,37.4732164,126.6301807,인천광역시 중구 우현로72번길 6
25,37.4551772,126.6029967,인천광역시 중구 연안부두로33번길 5
26,37.4927524,126.4888363,인천광역시 중구 흰바위로 35 영종해수사우나
27,37.4719692,126.6234183,인천광역시 중구 신포로23번길 32 수노래타운
28,37.4944445,126.4910496,인천광역시 중구 신도시남로150번길 4 스카이프라자
29,37.4756066,126.6306623,인천광역시 중구 참외전로 118-11
30,37.4740103,126.6177666,인천광역시 중구 제물량로 249 (주)파라다이스인천
31,37.4711192,126.6251607,인천광역시 중구 신포로 26-2
32,37.4548282,126.6027456,인천광역시 중구 연안부두로33번길 6
33,37.4941532,126.4908075,인천광역시 중구 신도시남로142번길 1
34,37.4719097,126.6235267,"인천광역시 중구 홍예문로 13 최고집,놀이터노래타운"
35,37.4732456,126.6311102,인천광역시 중구 우현로90번길 33
36,37.4542883,126.6038642,인천광역시 중구 연안부두로33번길 16 라이프비취상가
37,37.4704738,126.6244353,인천광역시 중구 신포로 16-1
38,37.4927516,126.4890688,인천광역시 중구 흰바위로 37 영종프라자
39,37.4551772,126.6029967,인천광역시 중구 연안부두로33번길 5
40,37.4941415,126.4912610,인천광역시 중구 신도시남로142번길 5
41,37.4944833,126.4901569,인천광역시 중구 신도시남로149번길 1 다모아프라자
42,37.4941676,126.4901418,인천광역시 중구 신도시남로141번길 2 대원프라자
43,37.4440459,126.3773211,인천광역시 중구 용유서로 283 더 레스트호텔
44,37.4945451,126.4886554,인천광역시 중구 신도시남로149번길 15 스카이블루
45,37.4944692,126.4908280,인천광역시 중구 신도시남로150번길 2 영종상가
46,37.4941537,126.4910367,인천광역시 중구 신도시남로142번길 3
47,37.4708267,126.6250974,인천광역시 중구 우현로35번길 23-1
48,37.4750029,126.5978127,인천광역시 중구 월미문화로 37-1
49,37.4548073,126.6049513,인천광역시 중구 연안부두로33번길 21
50,37.4495693,126.3718546,인천광역시 중구 을왕로58번길 7 레이관광호텔
51,37.4624717,126.6375402,인천광역시 중구 제물량로 22
52,37.4622276,126.6379245,인천광역시 중구 제물량로24번길 6-15
53,37.4719899,126.6245523,인천광역시 중구 신포로27번길 16 화로참숯불구이
54,37.4709899,126.6245606,인천광역시 중구 신포로 21
55,37.4715336,126.6237629,인천광역시 중구 신포로23번길 19
56,37.4942524,126.5367788,인천광역시 중구 운중로21번길 8 영종관광호텔
57,37.4722357,126.6260669,인천광역시 중구 신포로 40 고집132
58,37.4941676,126.4901418,인천광역시 중구 신도시남로141번길 2 대원프라자
59,37.4934507,126.4895036,인천광역시 중구 신도시남로141번길 5-8 천지인프라자
60,37.4714190,126.6244591,"인천광역시 중구 개항로 14 장모족발,그린손해보험"
61,37.4710131,126.6253843,인천광역시 중구 우현로39번길 21-2
62,37.4545940,126.6031084,인천광역시 중구 연안부두로33번길 10
63,37.4657997,126.6351001,인천광역시 중구 제물량로 63-1
64,37.4717399,126.6231601,인천광역시 중구 신포로23번길 31-1
65,37.4712207,126.6240649,인천광역시 중구 개항로 10-1 장수삼계탕
66,37.4712639,126.6242123,인천광역시 중구 신포로23번길 9-1
67,37.4706440,126.6246054,인천광역시 중구 신포로 18-1
68,37.4945451,126.4886554,인천광역시 중구 신도시남로149번길 15 스카이블루
69,37.4945451,126.4886554,인천광역시 중구 신도시남로149번길 15 스카이블루
70,37.4660085,126.6365827,인천광역시 중구 도원로 15
71,37.4944833,126.4901569,인천광역시 중구 신도시남로149번길 1 다모아프라자
72,37.4766083,126.5981829,인천광역시 중구 월미문화로 19
73,37.4720758,126.6242742,인천광역시 중구 신포로27번길 20
74,37.4712789,126.6233280,인천광역시 중구 신포로15번길 22-1
75,37.4372949,126.4557321,인천광역시 중구 영종해안남로321번길 186
76,37.4915578,126.5814407,인천광역시 중구 은하수로29번길 48
77,37.4746008,126.6299598,인천광역시 중구 우현로83번길 8
78,37.4712639,126.6242123,인천광역시 중구 신포로23번길 9-1
79,37.4710489,126.6237687,인천광역시 중구 개항로 6 신포설렁탕
80,37.4750098,126.6293816,인천광역시 중구 우현로87번길 23
81,37.4716380,126.6244108,"인천광역시 중구 개항로 15 일신우일식,낭띠"
82,37.4944324,126.4922266,인천광역시 중구 신도시남로142번길 11-6 환희빌딩
83,37.4915558,126.5809214,인천광역시 중구 은하수로29번길 47
84,37.4941532,126.4908075,인천광역시 중구 신도시남로142번길 1
85,37.4879690,126.5633493,인천광역시 중구 하늘별빛로65번길 7-20
86,37.4690456,126.6365222,인천광역시 중구 서해대로 486
87,37.4668687,126.6353546,인천광역시 중구 서해대로 460
88,37.4737610,126.6208423,인천광역시 중구 자유공원남로 1
89,37.4724201,126.6244616,인천광역시 중구 신포로31번길 22 건흥아파트
90,37.4721867,126.6234909,인천광역시 중구 신포로27번길 33
91,37.4749868,126.6179741,인천광역시 중구 차이나타운로52번길 11
92,37.4660214,126.6357054,인천광역시 중구 서해대로454번길 10-1
93,37.4737716,126.5970602,인천광역시 중구 월미문화로 51
94,37.4720952,126.6241075,인천광역시 중구 신포로27번길 24
95,37.4658186,126.6357691,인천광역시 중구 도원로7번길 16
96,37.4722030,126.6234073,인천광역시 중구 신포로27번길 33-1
97,37.4713168,126.6236611,인천광역시 중구 개항로 7-2 옛고을
98,37.4992803,126.5544362,인천광역시 중구 운중로 212
99,37.4713301,126.6248744,인천광역시 중구 신포로 25-1
100,37.4944445,126.4910496,인천광역시 중구 신도시남로150번길 4 스카이프라자
101,37.4746303,126.6290862,인천광역시 중구 우현로67번길 33
102,37.4710263,126.6239604,인천광역시 중구 신포로 19-9
103,37.4548796,126.6025869,인천광역시 중구 연안부두로33번길 4
104,37.4671166,126.6356518,인천광역시 중구 서해대로 462-2
105,37.4548356,126.6056089,인천광역시 중구 축항대로86번길 22 한성빌딩
106,37.4738712,126.5973072,인천광역시 중구 월미문화로 49
107,37.4722713,126.6254915,인천광역시 중구 신포로35번길 6
108,37.4405294,126.4575405,인천광역시 중구 영종해안남로321번길 208 그랜드하얏트인천 이스트타워
109,37.4719899,126.6245523,인천광역시 중구 신포로27번길 16 화로참숯불구이
110,37.4738394,126.6308335,인천광역시 중구 우현로90번길 20
111,37.4707945,126.6251250,인천광역시 중구 우현로35번길 23
