수요지 id,학교 id,할당 학령인구
C1,F1,0
C1,F2,0
C1,F3,0
C1,F4,0
C1,F5,0
C1,F6,0
C1,F7,0
C1,F8,0
C1,F9,0
C1,F10,0
C1,F11,0
C1,F12,0
C1,F13,0
C1,F14,0
C1,F15,0
C1,F16,0
C1,F17,0
C1,F18,0
C1,F19,0
C1,F20,0
C1,F21,0
C1,F22,0
C1,F23,0
C1,F24,0
C1,F25,0
C1,F26,0
C1,F27,0
C1,F28,0
C1,F29,0
C1,F30,0
C1,F31,0
C1,F32,0
C1,F33,0
C1,F34,0
C1,F35,0
C1,F36,0
C1,F37,0
C1,F38,0
C1,F39,0
C1,F40,0
C1,F41,0
C1,F42,0
C1,F43,0
C1,F44,0
C1,F45,0
C1,F46,0
C1,F47,1
C1,F48,0
C1,F49,0
C1,F50,0
C2,F1,0
C2,F2,0
C2,F3,0
C2,F4,0
C2,F5,0
C2,F6,0
C2,F7,0
C2,F8,0
C2,F9,0
C2,F10,0
C2,F11,0
C2,F12,0
C2,F13,0
C2,F14,0
C2,F15,0
C2,F16,0
C2,F17,0
C2,F18,0
C2,F19,0
C2,F20,0
C2,F21,0
C2,F22,0
C2,F23,0
C2,F24,0
C2,F25,0
C2,F26,0
C2,F27,0
C2,F28,0
C2,F29,0
C2,F30,0
C2,F31,0
C2,F32,0
C2,F33,0
C2,F34,0
C2,F35,0
C2,F36,0
C2,F37,0
C2,F38,0
C2,F39,0
C2,F40,0
C2,F41,0
C2,F42,0
C2,F43,0
C2,F44,0
C2,F45,0
C2,F46,0
C2,F47,46
C2,F48,0
C2,F49,0
C2,F50,0
C3,F1,0
C3,F2,0
C3,F3,0
C3,F4,0
C3,F5,0
C3,F6,0
C3,F7,0
C3,F8,0
C3,F9,0
C3,F10,0
C3,F11,0
C3,F12,0
C3,F13,0
C3,F14,0
C3,F15,0
C3,F16,0
C3,F17,0
C3,F18,0
C3,F19,0
C3,F20,0
C3,F21,0
C3,F22,0
C3,F23,0
C3,F24,0
C3,F25,0
C3,F26,0
C3,F27,0
C3,F28,0
C3,F29,0
C3,F30,0
C3,F31,0
C3,F32,0
C3,F33,0
C3,F34,0
C3,F35,0
C3,F36,0
C3,F37,0
C3,F38,0
C3,F39,0
C3,F40,0
C3,F41,0
C3,F42,0
C3,F43,0
C3,F44,0
C3,F45,0
C3,F46,0
C3,F47,36
C3,F48,0
C3,F49,0
C3,F50,0
C4,F1,0
C4,F2,0
C4,F3,0
C4,F4,0
C4,F5,0
C4,F6,0
C4,F7,0
C4,F8,0
C4,F9,0
C4,F10,0
C4,F11,0
C4,F12,0
C4,F13,0
C4,F14,0
C4,F15,0
C4,F16,0
C4,F17,0
C4,F18,0
C4,F19,0
C4,F20,0
C4,F21,0
C4,F22,0
C4,F23,0
C4,F24,0
C4,F25,0
C4,F26,0
C4,F27,0
C4,F28,0
C4,F29,0
C4,F30,0
C4,F31,0
C4,F32,0
C4,F33,0
C4,F34,0
C4,F35,0
C4,F36,0
C4,F37,0
C4,F38,0
C4,F39,0
C4,F40,0
C4,F41,0
C4,F42,0
C4,F43,0
C4,F44,0
C4,F45,0
C4,F46,0
C4,F47,81
C4,F48,0
C4,F49,0
C4,F50,0
C5,F1,0
C5,F2,0
C5,F3,0
C5,F4,0
C5,F5,0
C5,F6,0
C5,F7,0
C5,F8,0
C5,F9,0
C5,F10,0
C5,F11,0
C5,F12,0
C5,F13,0
C5,F14,0
C5,F15,0
C5,F16,0
C5,F17,0
C5,F18,0
C5,F19,0
C5,F20,0
C5,F21,0
C5,F22,0
C5,F23,0
C5,F24,0
C5,F25,0
C5,F26,0
C5,F27,0
C5,F28,0
C5,F29,0
C5,F30,0
C5,F31,0
C5,F32,0
C5,F33,0
C5,F34,0
C5,F35,0
C5,F36,0
C5,F37,0
C5,F38,0
C5,F39,0
C5,F40,0
C5,F41,0
C5,F42,0
C5,F43,0
C5,F44,0
C5,F45,0
C5,F46,0
C5,F47,25
C5,F48,0
C5,F49,0
C5,F50,0
C6,F1,0
C6,F2,0
C6,F3,0
C6,F4,0
C6,F5,0
C6,F6,0
C6,F7,0
C6,F8,0
C6,F9,0
C6,F10,0
C6,F11,0
C6,F12,0
C6,F13,0
C6,F14,0
C6,F15,0
C6,F16,0
C6,F17,0
C6,F18,0
C6,F19,0
C6,F20,0
C6,F21,0
C6,F22,0
C6,F23,0
C6,F24,0
C6,F25,0
C6,F26,0
C6,F27,0
C6,F28,0
C6,F29,0
C6,F30,0
C6,F31,0
C6,F32,0
C6,F33,0
C6,F34,0
C6,F35,0
C6,F36,0
C6,F37,0
C6,F38,0
C6,F39,0
C6,F40,0
C6,F41,0
C6,F42,0
C6,F43,0
C6,F44,0
C6,F45,0
C6,F46,0
C6,F47,14
C6,F48,0
C6,F49,0
C6,F50,0
C7,F1,0
C7,F2,0
C7,F3,0
C7,F4,0
C7,F5,0
C7,F6,0
C7,F7,0
C7,F8,0
C7,F9,0
C7,F10,0
C7,F11,0
C7,F12,0
C7,F13,0
C7,F14,0
C7,F15,0
C7,F16,0
C7,F17,0
C7,F18,0
C7,F19,0
C7,F20,0
C7,F21,0
C7,F22,0
C7,F23,0
C7,F24,0
C7,F25,0
C7,F26,0
C7,F27,0
C7,F28,0
C7,F29,0
C7,F30,0
C7,F31,0
C7,F32,0
C7,F33,0
C7,F34,0
C7,F35,0
C7,F36,0
C7,F37,0
C7,F38,0
C7,F39,0
C7,F40,0
C7,F41,0
C7,F42,0
C7,F43,0
C7,F44,0
C7,F45,0
C7,F46,0
C7,F47,14
C7,F48,0
C7,F49,0
C7,F50,0
C8,F1,0
C8,F2,0
C8,F3,0
C8,F4,0
C8,F5,0
C8,F6,0
C8,F7,0
C8,F8,0
C8,F9,0
C8,F10,0
C8,F11,0
C8,F12,0
C8,F13,0
C8,F14,0
C8,F15,0
C8,F16,0
C8,F17,0
C8,F18,0
C8,F19,0
C8,F20,0
C8,F21,0
C8,F22,0
C8,F23,0
C8,F24,0
C8,F25,0
C8,F26,0
C8,F27,0
C8,F28,0
C8,F29,0
C8,F30,0
C8,F31,0
C8,F32,0
C8,F33,0
C8,F34,0
C8,F35,0
C8,F36,0
C8,F37,0
C8,F38,0
C8,F39,0
C8,F40,0
C8,F41,0
C8,F42,0
C8,F43,0
C8,F44,0
C8,F45,0
C8,F46,0
C8,F47,28
C8,F48,0
C8,F49,0
C8,F50,0
C9,F1,0
C9,F2,0
C9,F3,0
C9,F4,0
C9,F5,0
C9,F6,0
C9,F7,0
C9,F8,0
